case_id,decision_mode,channel,traceback_depth,path_metric_width,normalization,payload_length,mismatch_count,observed_mismatch_rate,source_run_id
burst_error_short,hard,burst_error,40,12,subtract_min,96,0,0.000000,m5_burst_error_short_tb40_pm12_subtract_min
burst_error_short,hard,burst_error,40,16,none,96,0,0.000000,m5_burst_error_short_tb40_pm16_none
burst_error_short,hard,burst_error,40,16,subtract_min,96,0,0.000000,m5_burst_error_short_tb40_pm16_subtract_min
burst_error_short,hard,burst_error,64,8,none,96,0,0.000000,m5_burst_error_short_tb64_pm8_none
burst_error_short,hard,burst_error,64,8,subtract_min,96,0,0.000000,m5_burst_error_short_tb64_pm8_subtract_min
burst_error_short,hard,burst_error,64,10,none,96,0,0.000000,m5_burst_error_short_tb64_pm10_none
burst_error_short,hard,burst_error,64,10,subtract_min,96,0,0.000000,m5_burst_error_short_tb64_pm10_subtract_min
burst_error_short,hard,burst_error,64,12,none,96,0,0.000000,m5_burst_error_short_tb64_pm12_none
burst_error_short,hard,burst_error,64,12,subtract_min,96,0,0.000000,m5_burst_error_short_tb64_pm12_subtract_min
burst_error_short,hard,burst_error,64,16,none,96,0,0.000000,m5_burst_error_short_tb64_pm16_none
burst_error_short,hard,burst_error,64,16,subtract_min,96,0,0.000000,m5_burst_error_short_tb64_pm16_subtract_min
impulse_one,hard,no_noise,16,8,none,96,0,0.000000,m5_impulse_one_tb16_pm8_none
impulse_one,hard,no_noise,16,8,subtract_min,96,0,0.000000,m5_impulse_one_tb16_pm8_subtract_min
impulse_one,hard,no_noise,16,10,none,96,0,0.000000,m5_impulse_one_tb16_pm10_none
impulse_one,hard,no_noise,16,10,subtract_min,96,0,0.000000,m5_impulse_one_tb16_pm10_subtract_min
impulse_one,hard,no_noise,16,12,none,96,0,0.000000,m5_impulse_one_tb16_pm12_none
impulse_one,hard,no_noise,16,12,subtract_min,96,0,0.000000,m5_impulse_one_tb16_pm12_subtract_min
impulse_one,hard,no_noise,16,16,none,96,0,0.000000,m5_impulse_one_tb16_pm16_none
impulse_one,hard,no_noise,16,16,subtract_min,96,0,0.000000,m5_impulse_one_tb16_pm16_subtract_min
impulse_one,hard,no_noise,32,8,none,96,0,0.000000,m5_impulse_one_tb32_pm8_none
impulse_one,hard,no_noise,32,8,subtract_min,96,0,0.000000,m5_impulse_one_tb32_pm8_subtract_min
impulse_one,hard,no_noise,32,10,none,96,0,0.000000,m5_impulse_one_tb32_pm10_none
impulse_one,hard,no_noise,32,10,subtract_min,96,0,0.000000,m5_impulse_one_tb32_pm10_subtract_min
impulse_one,hard,no_noise,32,12,none,96,0,0.000000,m5_impulse_one_tb32_pm12_none
impulse_one,hard,no_noise,32,12,subtract_min,96,0,0.000000,m5_impulse_one_tb32_pm12_subtract_min
impulse_one,hard,no_noise,32,16,none,96,0,0.000000,m5_impulse_one_tb32_pm16_none
impulse_one,hard,no_noise,32,16,subtract_min,96,0,0.000000,m5_impulse_one_tb32_pm16_subtract_min
impulse_one,hard,no_noise,40,8,none,96,0,0.000000,m5_impulse_one_tb40_pm8_none
impulse_one,hard,no_noise,40,8,subtract_min,96,0,0.000000,m5_impulse_one_tb40_pm8_subtract_min
impulse_one,hard,no_noise,40,10,none,96,0,0.000000,m5_impulse_one_tb40_pm10_none
impulse_one,hard,no_noise,40,10,subtract_min,96,0,0.000000,m5_impulse_one_tb40_pm10_subtract_min
impulse_one,hard,no_noise,40,12,none,96,0,0.000000,m5_impulse_one_tb40_pm12_none
impulse_one,hard,no_noise,40,12,subtract_min,96,0,0.000000,m5_impulse_one_tb40_pm12_subtract_min
impulse_one,hard,no_noise,40,16,none,96,0,0.000000,m5_impulse_one_tb40_pm16_none
impulse_one,hard,no_noise,40,16,subtract_min,96,0,0.000000,m5_impulse_one_tb40_pm16_subtract_min
impulse_one,hard,no_noise,64,8,none,96,0,0.000000,m5_impulse_one_tb64_pm8_none
impulse_one,hard,no_noise,64,8,subtract_min,96,0,0.000000,m5_impulse_one_tb64_pm8_subtract_min
impulse_one,hard,no_noise,64,10,none,96,0,0.000000,m5_impulse_one_tb64_pm10_none
impulse_one,hard,no_noise,64,10,subtract_min,96,0,0.000000,m5_impulse_one_tb64_pm10_subtract_min
impulse_one,hard,no_noise,64,12,none,96,0,0.000000,m5_impulse_one_tb64_pm12_none
impulse_one,hard,no_noise,64,12,subtract_min,96,0,0.000000,m5_impulse_one_tb64_pm12_subtract_min
impulse_one,hard,no_noise,64,16,none,96,0,0.000000,m5_impulse_one_tb64_pm16_none
impulse_one,hard,no_noise,64,16,subtract_min,96,0,0.000000,m5_impulse_one_tb64_pm16_subtract_min
no_noise,hard,no_noise,16,8,none,96,0,0.000000,m5_no_noise_tb16_pm8_none
no_noise,hard,no_noise,16,8,subtract_min,96,0,0.000000,m5_no_noise_tb16_pm8_subtract_min
no_noise,hard,no_noise,16,10,none,96,0,0.000000,m5_no_noise_tb16_pm10_none
no_noise,hard,no_noise,16,10,subtract_min,96,0,0.000000,m5_no_noise_tb16_pm10_subtract_min
no_noise,hard,no_noise,16,12,none,96,0,0.000000,m5_no_noise_tb16_pm12_none
no_noise,hard,no_noise,16,12,subtract_min,96,0,0.000000,m5_no_noise_tb16_pm12_subtract_min
no_noise,hard,no_noise,16,16,none,96,0,0.000000,m5_no_noise_tb16_pm16_none
no_noise,hard,no_noise,16,16,subtract_min,96,0,0.000000,m5_no_noise_tb16_pm16_subtract_min
no_noise,hard,no_noise,32,8,none,96,0,0.000000,m5_no_noise_tb32_pm8_none
no_noise,hard,no_noise,32,8,subtract_min,96,0,0.000000,m5_no_noise_tb32_pm8_subtract_min
no_noise,hard,no_noise,32,10,none,96,0,0.000000,m5_no_noise_tb32_pm10_none
no_noise,hard,no_noise,32,10,subtract_min,96,0,0.000000,m5_no_noise_tb32_pm10_subtract_min
no_noise,hard,no_noise,32,12,none,96,0,0.000000,m5_no_noise_tb32_pm12_none
no_noise,hard,no_noise,32,12,subtract_min,96,0,0.000000,m5_no_noise_tb32_pm12_subtract_min
no_noise,hard,no_noise,32,16,none,96,0,0.000000,m5_no_noise_tb32_pm16_none
no_noise,hard,no_noise,32,16,subtract_min,96,0,0.000000,m5_no_noise_tb32_pm16_subtract_min
no_noise,hard,no_noise,40,8,none,96,0,0.000000,m5_no_noise_tb40_pm8_none
no_noise,hard,no_noise,40,8,subtract_min,96,0,0.000000,m5_no_noise_tb40_pm8_subtract_min
no_noise,hard,no_noise,40,10,none,96,0,0.000000,m5_no_noise_tb40_pm10_none
no_noise,hard,no_noise,40,10,subtract_min,96,0,0.000000,m5_no_noise_tb40_pm10_subtract_min
no_noise,hard,no_noise,40,12,none,96,0,0.000000,m5_no_noise_tb40_pm12_none
no_noise,hard,no_noise,40,12,subtract_min,96,0,0.000000,m5_no_noise_tb40_pm12_subtract_min
no_noise,hard,no_noise,40,16,none,96,0,0.000000,m5_no_noise_tb40_pm16_none
no_noise,hard,no_noise,40,16,subtract_min,96,0,0.000000,m5_no_noise_tb40_pm16_subtract_min
no_noise,hard,no_noise,64,8,none,96,0,0.000000,m5_no_noise_tb64_pm8_none
no_noise,hard,no_noise,64,8,subtract_min,96,0,0.000000,m5_no_noise_tb64_pm8_subtract_min
no_noise,hard,no_noise,64,10,none,96,0,0.000000,m5_no_noise_tb64_pm10_none
no_noise,hard,no_noise,64,10,subtract_min,96,0,0.000000,m5_no_noise_tb64_pm10_subtract_min
no_noise,hard,no_noise,64,12,none,96,0,0.000000,m5_no_noise_tb64_pm12_none
no_noise,hard,no_noise,64,12,subtract_min,96,0,0.000000,m5_no_noise_tb64_pm12_subtract_min
no_noise,hard,no_noise,64,16,none,96,0,0.000000,m5_no_noise_tb64_pm16_none
no_noise,hard,no_noise,64,16,subtract_min,96,0,0.000000,m5_no_noise_tb64_pm16_subtract_min
random_hard,hard,random_hard,16,8,none,96,0,0.000000,m5_random_hard_tb16_pm8_none
random_hard,hard,random_hard,16,8,subtract_min,96,0,0.000000,m5_random_hard_tb16_pm8_subtract_min
random_hard,hard,random_hard,16,10,none,96,0,0.000000,m5_random_hard_tb16_pm10_none
random_hard,hard,random_hard,16,10,subtract_min,96,0,0.000000,m5_random_hard_tb16_pm10_subtract_min
