case_id,run_id,decision_mode,channel,traceback_depth,path_metric_width,normalization,payload_length,mismatch_count,first_mismatch
random_hard,m5_random_hard_tb40_pm16_none,hard,random_hard,40,16,none,96,0,
random_hard,m5_random_hard_tb40_pm16_subtract_min,hard,random_hard,40,16,subtract_min,96,0,
random_hard,m5_random_hard_tb64_pm8_none,hard,random_hard,64,8,none,96,0,
random_hard,m5_random_hard_tb64_pm8_subtract_min,hard,random_hard,64,8,subtract_min,96,0,
random_hard,m5_random_hard_tb64_pm10_none,hard,random_hard,64,10,none,96,0,
random_hard,m5_random_hard_tb64_pm10_subtract_min,hard,random_hard,64,10,subtract_min,96,0,
random_hard,m5_random_hard_tb64_pm12_none,hard,random_hard,64,12,none,96,0,
random_hard,m5_random_hard_tb64_pm12_subtract_min,hard,random_hard,64,12,subtract_min,96,0,
random_hard,m5_random_hard_tb64_pm16_none,hard,random_hard,64,16,none,96,0,
random_hard,m5_random_hard_tb64_pm16_subtract_min,hard,random_hard,64,16,subtract_min,96,0,
single_bit_error,m5_single_bit_error_tb16_pm8_none,hard,flip_positions,16,8,none,96,0,
single_bit_error,m5_single_bit_error_tb16_pm8_subtract_min,hard,flip_positions,16,8,subtract_min,96,0,
single_bit_error,m5_single_bit_error_tb16_pm10_none,hard,flip_positions,16,10,none,96,0,
single_bit_error,m5_single_bit_error_tb16_pm10_subtract_min,hard,flip_positions,16,10,subtract_min,96,0,
single_bit_error,m5_single_bit_error_tb16_pm12_none,hard,flip_positions,16,12,none,96,0,
single_bit_error,m5_single_bit_error_tb16_pm12_subtract_min,hard,flip_positions,16,12,subtract_min,96,0,
single_bit_error,m5_single_bit_error_tb16_pm16_none,hard,flip_positions,16,16,none,96,0,
single_bit_error,m5_single_bit_error_tb16_pm16_subtract_min,hard,flip_positions,16,16,subtract_min,96,0,
single_bit_error,m5_single_bit_error_tb32_pm8_none,hard,flip_positions,32,8,none,96,0,
single_bit_error,m5_single_bit_error_tb32_pm8_subtract_min,hard,flip_positions,32,8,subtract_min,96,0,
single_bit_error,m5_single_bit_error_tb32_pm10_none,hard,flip_positions,32,10,none,96,0,
single_bit_error,m5_single_bit_error_tb32_pm10_subtract_min,hard,flip_positions,32,10,subtract_min,96,0,
single_bit_error,m5_single_bit_error_tb32_pm12_none,hard,flip_positions,32,12,none,96,0,
single_bit_error,m5_single_bit_error_tb32_pm12_subtract_min,hard,flip_positions,32,12,subtract_min,96,0,
single_bit_error,m5_single_bit_error_tb32_pm16_none,hard,flip_positions,32,16,none,96,0,
single_bit_error,m5_single_bit_error_tb32_pm16_subtract_min,hard,flip_positions,32,16,subtract_min,96,0,
single_bit_error,m5_single_bit_error_tb40_pm8_none,hard,flip_positions,40,8,none,96,0,
single_bit_error,m5_single_bit_error_tb40_pm8_subtract_min,hard,flip_positions,40,8,subtract_min,96,0,
single_bit_error,m5_single_bit_error_tb40_pm10_none,hard,flip_positions,40,10,none,96,0,
single_bit_error,m5_single_bit_error_tb40_pm10_subtract_min,hard,flip_positions,40,10,subtract_min,96,0,
single_bit_error,m5_single_bit_error_tb40_pm12_none,hard,flip_positions,40,12,none,96,0,
single_bit_error,m5_single_bit_error_tb40_pm12_subtract_min,hard,flip_positions,40,12,subtract_min,96,0,
single_bit_error,m5_single_bit_error_tb40_pm16_none,hard,flip_positions,40,16,none,96,0,
single_bit_error,m5_single_bit_error_tb40_pm16_subtract_min,hard,flip_positions,40,16,subtract_min,96,0,
single_bit_error,m5_single_bit_error_tb64_pm8_none,hard,flip_positions,64,8,none,96,0,
single_bit_error,m5_single_bit_error_tb64_pm8_subtract_min,hard,flip_positions,64,8,subtract_min,96,0,
single_bit_error,m5_single_bit_error_tb64_pm10_none,hard,flip_positions,64,10,none,96,0,
single_bit_error,m5_single_bit_error_tb64_pm10_subtract_min,hard,flip_positions,64,10,subtract_min,96,0,
single_bit_error,m5_single_bit_error_tb64_pm12_none,hard,flip_positions,64,12,none,96,0,
single_bit_error,m5_single_bit_error_tb64_pm12_subtract_min,hard,flip_positions,64,12,subtract_min,96,0,
single_bit_error,m5_single_bit_error_tb64_pm16_none,hard,flip_positions,64,16,none,96,0,
single_bit_error,m5_single_bit_error_tb64_pm16_subtract_min,hard,flip_positions,64,16,subtract_min,96,0,
soft_awgn_0db,m5_soft_awgn_0db_tb16_pm8_none,soft3,soft_awgn,16,8,none,96,8,3
soft_awgn_0db,m5_soft_awgn_0db_tb16_pm8_subtract_min,soft3,soft_awgn,16,8,subtract_min,96,8,3
soft_awgn_0db,m5_soft_awgn_0db_tb16_pm10_none,soft3,soft_awgn,16,10,none,96,8,3
soft_awgn_0db,m5_soft_awgn_0db_tb16_pm10_subtract_min,soft3,soft_awgn,16,10,subtract_min,96,8,3
soft_awgn_0db,m5_soft_awgn_0db_tb16_pm12_none,soft3,soft_awgn,16,12,none,96,8,3
soft_awgn_0db,m5_soft_awgn_0db_tb16_pm12_subtract_min,soft3,soft_awgn,16,12,subtract_min,96,8,3
soft_awgn_0db,m5_soft_awgn_0db_tb16_pm16_none,soft3,soft_awgn,16,16,none,96,8,3
soft_awgn_0db,m5_soft_awgn_0db_tb16_pm16_subtract_min,soft3,soft_awgn,16,16,subtract_min,96,8,3
soft_awgn_0db,m5_soft_awgn_0db_tb32_pm8_none,soft3,soft_awgn,32,8,none,96,0,
soft_awgn_0db,m5_soft_awgn_0db_tb32_pm8_subtract_min,soft3,soft_awgn,32,8,subtract_min,96,0,
soft_awgn_0db,m5_soft_awgn_0db_tb32_pm10_none,soft3,soft_awgn,32,10,none,96,0,
soft_awgn_0db,m5_soft_awgn_0db_tb32_pm10_subtract_min,soft3,soft_awgn,32,10,subtract_min,96,0,
soft_awgn_0db,m5_soft_awgn_0db_tb32_pm12_none,soft3,soft_awgn,32,12,none,96,0,
soft_awgn_0db,m5_soft_awgn_0db_tb32_pm12_subtract_min,soft3,soft_awgn,32,12,subtract_min,96,0,
soft_awgn_0db,m5_soft_awgn_0db_tb32_pm16_none,soft3,soft_awgn,32,16,none,96,0,
soft_awgn_0db,m5_soft_awgn_0db_tb32_pm16_subtract_min,soft3,soft_awgn,32,16,subtract_min,96,0,
soft_awgn_0db,m5_soft_awgn_0db_tb40_pm8_none,soft3,soft_awgn,40,8,none,96,0,
soft_awgn_0db,m5_soft_awgn_0db_tb40_pm8_subtract_min,soft3,soft_awgn,40,8,subtract_min,96,0,
soft_awgn_0db,m5_soft_awgn_0db_tb40_pm10_none,soft3,soft_awgn,40,10,none,96,0,
soft_awgn_0db,m5_soft_awgn_0db_tb40_pm10_subtract_min,soft3,soft_awgn,40,10,subtract_min,96,0,
soft_awgn_0db,m5_soft_awgn_0db_tb40_pm12_none,soft3,soft_awgn,40,12,none,96,0,
soft_awgn_0db,m5_soft_awgn_0db_tb40_pm12_subtract_min,soft3,soft_awgn,40,12,subtract_min,96,0,
soft_awgn_0db,m5_soft_awgn_0db_tb40_pm16_none,soft3,soft_awgn,40,16,none,96,0,
soft_awgn_0db,m5_soft_awgn_0db_tb40_pm16_subtract_min,soft3,soft_awgn,40,16,subtract_min,96,0,
soft_awgn_0db,m5_soft_awgn_0db_tb64_pm8_none,soft3,soft_awgn,64,8,none,96,0,
soft_awgn_0db,m5_soft_awgn_0db_tb64_pm8_subtract_min,soft3,soft_awgn,64,8,subtract_min,96,0,
soft_awgn_0db,m5_soft_awgn_0db_tb64_pm10_none,soft3,soft_awgn,64,10,none,96,0,
soft_awgn_0db,m5_soft_awgn_0db_tb64_pm10_subtract_min,soft3,soft_awgn,64,10,subtract_min,96,0,
soft_awgn_0db,m5_soft_awgn_0db_tb64_pm12_none,soft3,soft_awgn,64,12,none,96,0,
soft_awgn_0db,m5_soft_awgn_0db_tb64_pm12_subtract_min,soft3,soft_awgn,64,12,subtract_min,96,0,
soft_awgn_0db,m5_soft_awgn_0db_tb64_pm16_none,soft3,soft_awgn,64,16,none,96,0,
soft_awgn_0db,m5_soft_awgn_0db_tb64_pm16_subtract_min,soft3,soft_awgn,64,16,subtract_min,96,0,
soft_awgn_1db,m5_soft_awgn_1db_tb16_pm8_none,soft3,soft_awgn,16,8,none,96,0,
soft_awgn_1db,m5_soft_awgn_1db_tb16_pm8_subtract_min,soft3,soft_awgn,16,8,subtract_min,96,0,
soft_awgn_1db,m5_soft_awgn_1db_tb16_pm10_none,soft3,soft_awgn,16,10,none,96,0,
soft_awgn_1db,m5_soft_awgn_1db_tb16_pm10_subtract_min,soft3,soft_awgn,16,10,subtract_min,96,0,
soft_awgn_1db,m5_soft_awgn_1db_tb16_pm12_none,soft3,soft_awgn,16,12,none,96,0,
soft_awgn_1db,m5_soft_awgn_1db_tb16_pm12_subtract_min,soft3,soft_awgn,16,12,subtract_min,96,0,
soft_awgn_1db,m5_soft_awgn_1db_tb16_pm16_none,soft3,soft_awgn,16,16,none,96,0,
soft_awgn_1db,m5_soft_awgn_1db_tb16_pm16_subtract_min,soft3,soft_awgn,16,16,subtract_min,96,0,
soft_awgn_1db,m5_soft_awgn_1db_tb32_pm8_none,soft3,soft_awgn,32,8,none,96,0,
soft_awgn_1db,m5_soft_awgn_1db_tb32_pm8_subtract_min,soft3,soft_awgn,32,8,subtract_min,96,0,
soft_awgn_1db,m5_soft_awgn_1db_tb32_pm10_none,soft3,soft_awgn,32,10,none,96,0,
soft_awgn_1db,m5_soft_awgn_1db_tb32_pm10_subtract_min,soft3,soft_awgn,32,10,subtract_min,96,0,
soft_awgn_1db,m5_soft_awgn_1db_tb32_pm12_none,soft3,soft_awgn,32,12,none,96,0,
soft_awgn_1db,m5_soft_awgn_1db_tb32_pm12_subtract_min,soft3,soft_awgn,32,12,subtract_min,96,0,
soft_awgn_1db,m5_soft_awgn_1db_tb32_pm16_none,soft3,soft_awgn,32,16,none,96,0,
soft_awgn_1db,m5_soft_awgn_1db_tb32_pm16_subtract_min,soft3,soft_awgn,32,16,subtract_min,96,0,
soft_awgn_1db,m5_soft_awgn_1db_tb40_pm8_none,soft3,soft_awgn,40,8,none,96,0,
soft_awgn_1db,m5_soft_awgn_1db_tb40_pm8_subtract_min,soft3,soft_awgn,40,8,subtract_min,96,0,
soft_awgn_1db,m5_soft_awgn_1db_tb40_pm10_none,soft3,soft_awgn,40,10,none,96,0,
soft_awgn_1db,m5_soft_awgn_1db_tb40_pm10_subtract_min,soft3,soft_awgn,40,10,subtract_min,96,0,
soft_awgn_1db,m5_soft_awgn_1db_tb40_pm12_none,soft3,soft_awgn,40,12,none,96,0,
soft_awgn_1db,m5_soft_awgn_1db_tb40_pm12_subtract_min,soft3,soft_awgn,40,12,subtract_min,96,0,
soft_awgn_1db,m5_soft_awgn_1db_tb40_pm16_none,soft3,soft_awgn,40,16,none,96,0,
soft_awgn_1db,m5_soft_awgn_1db_tb40_pm16_subtract_min,soft3,soft_awgn,40,16,subtract_min,96,0,
soft_awgn_1db,m5_soft_awgn_1db_tb64_pm8_none,soft3,soft_awgn,64,8,none,96,0,
soft_awgn_1db,m5_soft_awgn_1db_tb64_pm8_subtract_min,soft3,soft_awgn,64,8,subtract_min,96,0,
soft_awgn_1db,m5_soft_awgn_1db_tb64_pm10_none,soft3,soft_awgn,64,10,none,96,0,
soft_awgn_1db,m5_soft_awgn_1db_tb64_pm10_subtract_min,soft3,soft_awgn,64,10,subtract_min,96,0,
soft_awgn_1db,m5_soft_awgn_1db_tb64_pm12_none,soft3,soft_awgn,64,12,none,96,0,
soft_awgn_1db,m5_soft_awgn_1db_tb64_pm12_subtract_min,soft3,soft_awgn,64,12,subtract_min,96,0,
soft_awgn_1db,m5_soft_awgn_1db_tb64_pm16_none,soft3,soft_awgn,64,16,none,96,0,
soft_awgn_1db,m5_soft_awgn_1db_tb64_pm16_subtract_min,soft3,soft_awgn,64,16,subtract_min,96,0,
soft_awgn_2db,m5_soft_awgn_2db_tb16_pm8_none,soft3,soft_awgn,16,8,none,96,0,
soft_awgn_2db,m5_soft_awgn_2db_tb16_pm8_subtract_min,soft3,soft_awgn,16,8,subtract_min,96,0,
soft_awgn_2db,m5_soft_awgn_2db_tb16_pm10_none,soft3,soft_awgn,16,10,none,96,0,
soft_awgn_2db,m5_soft_awgn_2db_tb16_pm10_subtract_min,soft3,soft_awgn,16,10,subtract_min,96,0,
soft_awgn_2db,m5_soft_awgn_2db_tb16_pm12_none,soft3,soft_awgn,16,12,none,96,0,
soft_awgn_2db,m5_soft_awgn_2db_tb16_pm12_subtract_min,soft3,soft_awgn,16,12,subtract_min,96,0,
soft_awgn_2db,m5_soft_awgn_2db_tb16_pm16_none,soft3,soft_awgn,16,16,none,96,0,
soft_awgn_2db,m5_soft_awgn_2db_tb16_pm16_subtract_min,soft3,soft_awgn,16,16,subtract_min,96,0,
soft_awgn_2db,m5_soft_awgn_2db_tb32_pm8_none,soft3,soft_awgn,32,8,none,96,0,
soft_awgn_2db,m5_soft_awgn_2db_tb32_pm8_subtract_min,soft3,soft_awgn,32,8,subtract_min,96,0,
soft_awgn_2db,m5_soft_awgn_2db_tb32_pm10_none,soft3,soft_awgn,32,10,none,96,0,
soft_awgn_2db,m5_soft_awgn_2db_tb32_pm10_subtract_min,soft3,soft_awgn,32,10,subtract_min,96,0,
soft_awgn_2db,m5_soft_awgn_2db_tb32_pm12_none,soft3,soft_awgn,32,12,none,96,0,
soft_awgn_2db,m5_soft_awgn_2db_tb32_pm12_subtract_min,soft3,soft_awgn,32,12,subtract_min,96,0,
soft_awgn_2db,m5_soft_awgn_2db_tb32_pm16_none,soft3,soft_awgn,32,16,none,96,0,
